,LF-delta,LF-theta,LF-alpha,LF-beta,LF-gamma,LF-broadband,LC-delta,LC-theta,LC-alpha,LC-beta,LC-gamma,LC-broadband,LP-delta,LP-theta,LP-alpha,LP-beta,LP-gamma,LP-broadband,LO-delta,LO-theta,LO-alpha,LO-beta,LO-gamma,LO-broadband,RF-delta,RF-theta,RF-alpha,RF-beta,RF-gamma,RF-broadband,RC-delta,RC-theta,RC-alpha,RC-beta,RC-gamma,RC-broadband,RP-delta,RP-theta,RP-alpha,RP-beta,RP-gamma,RP-broadband,RO-delta,RO-theta,RO-alpha,RO-beta,RO-gamma,RO-broadband,FZ-delta,FZ-theta,FZ-alpha,FZ-beta,FZ-gamma,FZ-broadband,CZ-delta,CZ-theta,CZ-alpha,CZ-beta,CZ-gamma,CZ-broadband,PZ-delta,PZ-theta,PZ-alpha,PZ-beta,PZ-gamma,PZ-broadband,OZ-delta,OZ-theta,OZ-alpha,OZ-beta,OZ-gamma,OZ-broadband,all-delta,all-theta,all-alpha,all-beta,all-gamma,all-broadband
01-baseline1,-85.88893027539825,-86.36007072833678,-88.31805381554574,-91.05963513949142,-92.36899013163983,-90.12578882760916,-86.97686533934385,-87.02419102172072,-87.7615226737243,-89.07057603785721,-89.48725446730138,-88.62983073733999,-87.16183258938169,-86.73876678695477,-87.68552042603478,-91.31216992454112,-94.3131186264458,-90.82736810289208,-85.99681870879881,-84.28796601199593,-84.99518110133513,-91.72190981676484,-98.08717659764508,-91.32465014916843,-85.62317164291731,-86.01431419079466,-87.97187413083071,-90.8719167795184,-92.4314369622244,-89.96115778779367,-86.42360400432248,-86.08139901609107,-86.85404160029333,-88.04194422952476,-88.78069278260924,-87.74995256100915,-86.59420643674753,-86.07634018439484,-87.24066707563757,-92.24757772233882,-96.96666239294017,-91.7441969429655,-86.83261262722252,-85.42523932483364,-86.22007520880206,-92.80568037586184,-99.32797805751106,-92.4423433996014,-84.50855360779708,-85.17810460762531,-87.88909605504743,-93.05088576604211,-96.81465613176192,-91.83413805470644,-84.80322956262285,-84.95313384385378,-86.44377575263889,-91.63770151450156,-96.30002678229545,-90.93198629301114,-84.66020963818711,-83.61523666832714,-84.48668926755687,-91.15610604782349,-97.93998959194997,-90.78145867691518,-90.89354156879212,-90.22269710136592,-91.26022602322529,-95.58021685242286,-99.46443615672638,-95.1148530921102,-86.4254686155312,-86.21866849259646,-87.47032200666695,-90.95877655761817,-93.70688205709448,-90.36961587668124
01-baseline2,-85.62924887722971,-85.63036561625253,-87.10901772706269,-89.62135937086032,-90.98941563215534,-88.91382884698046,-86.52388663078388,-86.16677103777234,-86.80688732663238,-88.43858399619832,-89.67070481006542,-88.16479350032445,-86.85665858808653,-86.00366891850035,-86.75369338211436,-90.4519531383722,-93.9112367686118,-90.14259019329056,-85.71707592112384,-83.37270934304397,-83.93601731377791,-89.58388312605017,-94.66282575418062,-89.2810341030623,-85.4353434959227,-85.52504938167996,-87.1117837095776,-89.70699126667533,-91.03657178147746,-88.9345066740913,-86.17441945547998,-85.7996879341272,-86.60433218266617,-88.9120700959013,-90.54937677487314,-88.50561969410121,-86.25182324156418,-85.24866096716653,-86.21652529053827,-91.2710478119839,-96.43789742930578,-90.95314682264612,-86.27617734341749,-84.2174860322985,-84.93108413667451,-91.26844239266477,-97.76800255899744,-91.05527446768755,-84.56870665086271,-84.91596729105797,-87.16192806535727,-91.96787430525347,-95.27751587256871,-90.86958260623403,-84.68220189072714,-84.38197287217822,-85.51333925475578,-90.38553329441908,-95.27557596156734,-89.95013537464654,-84.53363896159657,-82.86194878524731,-83.62273766009575,-89.932685733104,-96.59828082460452,-89.72111132674189,-90.13429114079064,-88.76869043906794,-89.49426794435297,-92.43398743024748,-94.90618963783028,-92.16156670549007,-86.12557727982423,-85.51623761428479,-86.54472579915753,-90.03003309417453,-92.99093460344352,-89.57990261256609
01-induction1,-86.05769255695769,-86.44027849362766,-88.1283987462211,-89.85051326538606,-90.40569193112502,-89.09679093188562,-87.15230320323103,-87.11882871360702,-87.68730508801877,-88.31023070649546,-88.33860213153173,-88.02009805129157,-87.41666189453687,-86.82787873655148,-87.7543901037245,-91.253188168495,-94.41936762685133,-90.86866965601686,-86.69052201217413,-84.80029723502895,-85.57381534828303,-91.86528388432409,-98.7326073104504,-91.72899303510704,-86.13701467761165,-86.28081172339813,-87.71405623229043,-89.07178086726353,-89.34647130465622,-88.43210747976266,-86.6482122887964,-86.16667402663217,-86.74013255720917,-87.16259041130189,-87.19910293640388,-86.9784433064506,-86.9911829764142,-86.4121706061548,-87.55868833340577,-91.81764184247508,-95.76399776017384,-91.35514246075472,-87.48206739313605,-86.17262951065425,-87.14311003596167,-93.05967067441182,-99.42353297700704,-92.81251574171226,-85.19496963349323,-85.78249027716105,-88.2738431466716,-92.5890644580192,-95.25663585502532,-91.40436827559756,-85.08351969710897,-85.21139428492246,-86.73554647807478,-91.13309135727872,-95.15043874298024,-90.50054684253112,-85.26612924606528,-84.15417370989881,-85.16965943958925,-91.06219572469968,-97.57697197392864,-90.83122730915235,-91.02878085932824,-90.50423202689548,-91.82777343939634,-96.4818477861986,-101.02675743490808,-96.0095994950784,-86.76288028100711,-86.4503032059219,-87.56859592212805,-90.31633490376346,-92.55053374662177,-89.8581620842547
01-induction2,-86.40077962468428,-86.96030904482413,-89.1757976503039,-93.76450427580684,-97.1747680323458,-92.74140756418076,-86.98185571149287,-87.47249676977698,-89.30354296628539,-93.69707611206576,-97.40752793603244,-92.89135577919322,-87.36163979621831,-86.9391860509728,-88.15472724924177,-93.30739894271277,-99.27035587232696,-93.05147380194578,-86.56307253147092,-84.67787518227314,-85.49156082551991,-92.0173915137238,-99.62423303270924,-91.98713529327942,-86.20343798977196,-86.67327275289054,-88.71552900187092,-92.8646161362273,-96.10818052261664,-91.9753463664098,-86.71769411487563,-87.01422678099533,-88.59131417304152,-92.63951236090908,-96.46932335191504,-92.0374349072791,-86.97614777964549,-86.51696887263603,-87.76365659008054,-93.00884425133756,-99.27670789354929,-92.79883421072545,-87.57683674258139,-86.26195041868269,-87.1975279566132,-92.89898041442407,-99.54830305923728,-92.79524846308789,-85.48288885642837,-86.01933854655456,-88.26232515430533,-93.28181225775324,-97.5079389976076,-92.3302555211197,-84.83095641471198,-85.04853183757871,-86.60341317860932,-91.89418307919942,-98.26619071486508,-91.567220207446,-85.28415779128153,-84.28979109504027,-85.38574332207492,-91.43742558000773,-99.04425138679991,-91.40387357854314,-90.66669459198012,-90.1467465800543,-91.3962815211124,-95.448264083626,-99.34494008732533,-95.00892612877772,-86.77924797409986,-86.73892578836868,-88.33078680663498,-93.12939324294526,-97.94940756400835,-92.5804749072378
01-induction3,-85.75156955143603,-86.06247102921634,-88.09474499734262,-93.03012647253928,-96.8143641532111,-92.05802650874494,-86.49130741638683,-86.45906720597132,-87.4509494485769,-91.108374542584,-94.34555726103056,-90.62529026651394,-86.5223514854193,-85.89693252470704,-86.87195654476746,-92.3367289375576,-98.1966527085378,-92.02981525452472,-85.49826104984457,-83.54555401052005,-84.30358688886696,-90.82419870203766,-97.50885203402017,-90.58284261934514,-85.5385974736291,-85.81200622611269,-87.78508311419188,-92.65797378769304,-96.42039947206548,-91.7147567538716,-86.1177916704221,-86.13323779945509,-87.4935576730804,-91.75145518160777,-95.09868652559176,-91.0372851774172,-86.30084546154349,-85.59185170057424,-86.7007228747501,-92.60267636984184,-99.49201631188409,-92.40355044808663,-86.66667840666992,-84.98475327154648,-85.79978721391271,-92.1514522655761,-99.416578468646,-92.06742002588366,-84.82909651191468,-85.19086313155063,-87.39639199056292,-93.64126479499312,-98.89147099504542,-92.6030720699111,-84.26716424633159,-84.14244849912718,-85.45762349211537,-91.57150023491975,-98.43381796041729,-91.20235321957564,-84.29221005026533,-83.01182373326441,-83.96173817586535,-90.7982567520371,-99.084670872736,-90.7569604525402,-90.37475614565692,-89.28817843654925,-90.25360632571356,-94.0185976414331,-97.29006955142452,-93.622540417293,-86.10244234250334,-85.77687485344026,-87.11959375290277,-92.23859452021708,-97.16988078234368,-91.69972882456824
01-induction4,-84.98233676656557,-85.15387727293886,-86.95931019952785,-89.81234175160037,-91.69839410120213,-89.04970473742392,-85.9539626149742,-85.71388262956009,-86.42319802705568,-88.52270016375422,-90.05321361423256,-88.15762280440654,-85.9854279389181,-85.1321346883316,-85.90531834357928,-90.10731887474752,-94.17411725434012,-89.79411090430433,-84.91005181347414,-82.68864877598504,-83.30092786866287,-90.44995092596302,-98.02400736450691,-90.29844260362228,-84.4646161971614,-84.75995667229903,-86.75277421482363,-89.69109736595061,-91.92957559045809,-88.94112242072069,-85.46649821872455,-85.22962977256302,-86.11486570973878,-88.58453284898422,-91.12014155101532,-88.32417453989936,-85.42757899877002,-84.39102531830403,-85.30199564176641,-90.69842834209231,-96.55897263550524,-90.4660959087019,-85.6108316852323,-83.4789959596675,-84.0975491962664,-91.2152857717361,-99.02482794477208,-91.12182326759088,-83.90098064890573,-84.28962695566835,-86.77604651839839,-91.97654182766584,-96.00946562580036,-90.88847564119696,-83.8432026499411,-83.51657573821028,-84.73792195803642,-90.04760494230581,-95.76205202584178,-89.67170526511686,-83.50288495329079,-81.72973755766779,-82.4388243178218,-89.50017478818229,-97.47111666517442,-89.41000250385368,-89.99543933438511,-88.84830169181312,-89.84615659484263,-94.99791277507435,-99.74349523181776,-94.553924318842,-85.37326311167755,-84.84447281861847,-85.99650717587227,-89.983850441225,-93.77757005058832,-89.55854952181515
01-experience1,-87.09413309971,-87.92783711966214,-90.3028078713067,-94.44710017520202,-97.5841464987114,-93.42970951258664,-87.92061250138215,-88.47240272517637,-90.16119421232536,-93.866613084694,-97.34450374318337,-93.23152276779652,-88.15859729116929,-88.32801656499392,-89.81224746705017,-94.40939202506604,-100.00206971879496,-94.1146299732998,-88.09025242994963,-87.54839023079617,-88.796187144294,-94.32515552387166,-101.77450886663256,-94.33343018290437,-86.74080825349665,-87.53583957332407,-89.9041989421475,-93.86977072175034,-97.01897908843982,-92.91422627379444,-87.47005812307924,-87.91141312596466,-89.5730143731746,-93.31667397804168,-96.4060446143978,-92.58946300594008,-88.05477128505149,-88.11514212443322,-89.6654451215322,-94.49437595598512,-100.26843636935294,-94.17311412563323,-88.9538041949079,-88.71015016940535,-90.2445789049836,-95.43713654426776,-101.92697060389692,-95.2193074228244,-86.04661805250305,-86.88327105795214,-89.40505815411352,-94.52560732517924,-99.00856879253924,-93.52216022092236,-85.69868742310966,-86.13159347605654,-87.86647047477963,-93.18959852632062,-99.63950041346756,-92.81486957760576,-86.45182372962792,-86.2096469638556,-87.68260841917174,-93.18242867127351,-100.84185610853032,-93.1769648404712,-91.90443531614038,-92.21192533468374,-94.06070683860996,-98.4800811625125,-103.20502255980674,-97.93499891202572,-87.6531691918914,-88.03335128196083,-89.84859407809361,-94.2502011620192,-98.81129680371528,-93.66892617903208
01-experience2,-86.22307807525442,-87.05259170055535,-89.68785401619657,-94.6155629905149,-98.35126193896232,-93.46117120967293,-87.17211133073883,-87.82095601792034,-89.80261547255407,-94.95081206100832,-99.46876179280991,-94.07462415777754,-87.71005644575617,-87.63808091258491,-88.91699619154213,-94.30135423092388,-99.9968751467407,-93.86134154558926,-87.53575826121646,-86.57205333319936,-87.62511953317254,-93.58376320463344,-100.347960313215,-93.37297663314764,-85.99650815523461,-86.7824034170836,-89.29869657164222,-93.86130385803716,-97.63433055132582,-92.85393018834422,-86.78669866193877,-87.31393819066578,-89.14370831985822,-93.9046773960764,-98.366982387493,-93.1732849423539,-87.4177305882306,-87.32376882767358,-88.7229517056637,-93.98425943986108,-99.65670606271944,-93.55353837577414,-88.23685149199531,-87.63129746570596,-88.90147781844031,-94.19622097302528,-100.01751967644589,-93.86964203458702,-85.37266654750873,-86.16601265703619,-88.72615062460777,-93.9735581120582,-98.18616246498496,-92.86112474958767,-84.99442264786938,-85.41271870301836,-87.06049093126848,-92.75499465363347,-98.7761951317553,-92.18055960528952,-85.94071364811359,-85.5491185909461,-86.85068593552134,-92.65276496063775,-99.54720415480766,-92.414597088447,-91.11016043653196,-91.07145854055985,-92.60196814901936,-96.594713547729,-100.44826283619588,-96.05804551813812,-86.9759324267952,-87.27302396047457,-89.11038374684756,-94.19863275730664,-99.08258242008264,-93.49596435922038
01-experience3,-85.90447124436623,-86.89901853005195,-89.90973277615169,-95.78237724718832,-100.40917953113204,-94.47568689907474,-86.59924385273513,-87.37502522314853,-89.66411606646572,-95.20819250236124,-100.02578159428722,-94.2139705388693,-87.20179141621814,-87.49700631373864,-89.3069899808529,-94.85846674073068,-99.72800080399573,-94.01888900540872,-86.90875536813142,-86.37332818997643,-87.6915171039363,-91.5394910772041,-94.62333902094824,-90.94596580618332,-85.58688874011253,-86.56056700464106,-89.49697221547734,-95.3594903607354,-100.20970015506524,-94.1286384971203,-86.139540129425,-86.94515849305034,-89.35124277203369,-95.31390625460868,-100.59376781377432,-94.2832939074684,-86.85911888313834,-87.20585355393105,-89.09828437739637,-94.89872768045784,-100.51670187481297,-94.14992860635584,-87.6356354622658,-87.42222538481535,-88.81515370346091,-92.78986771287452,-96.24426953596986,-92.20380930984022,-85.30104300041688,-86.22117076979595,-88.9487281569231,-95.19547174561816,-100.41485089761755,-93.98876920264614,-84.40101637015957,-85.00345312806516,-87.03332507361662,-93.49214823740542,-99.66742673020596,-92.63210284656806,-85.35010406374174,-85.39212377979189,-87.15070917142958,-92.97135023807792,-98.53409612463726,-92.2599253397907,-90.63797434815444,-90.29722018079984,-91.36938476227697,-92.36129500002482,-93.31463728247935,-92.12169999975411,-86.47441691762613,-87.02679118864445,-89.25382638607465,-94.75722442761024,-99.57542614774998,-93.81011097859664
01-experience4,-86.0768793738126,-86.26194720866232,-87.80012717809672,-89.39043982507467,-89.97794131489066,-88.73407862606341,-87.09367371992747,-86.9430738733559,-87.26412170717262,-87.8533132864096,-87.6207545729263,-87.56926655216151,-87.42856869872813,-86.5682256853033,-87.32033274483149,-90.85347371830512,-93.5612413728806,-90.40608622934374,-86.64398960526354,-84.0683962489166,-84.75788870882124,-91.26418316892044,-98.08767533072592,-91.13782871499582,-85.70566381828957,-85.92842275174966,-87.65202527132348,-89.64967398121416,-90.45243624554725,-88.88407353706945,-86.39063057900657,-85.95013795524117,-86.52570021380802,-87.56195707115158,-87.8000148012935,-87.23953125714716,-86.90420705684558,-86.13609484138561,-87.25988363382868,-91.99467587904408,-96.52810913910048,-91.55964998355094,-87.36628269961781,-85.37893308941098,-86.22078858162789,-92.57210860331712,-99.51917099859624,-92.43384205820745,-84.96836915597207,-85.39784123153284,-87.8362179222608,-92.56776791131936,-95.647956521029,-91.38772752132752,-84.954214855537,-84.96991114596688,-86.42593293694159,-91.36611617799244,-95.60422750666352,-90.65081505060704,-85.34235812974379,-83.7394443370452,-84.67095376485989,-90.90728995752116,-97.7592642823718,-90.72337217464238,-91.07024524738692,-89.83003752742754,-90.87643922314508,-95.34339949525476,-99.66318468620253,-94.9979981442112,-86.64680460480156,-86.14265649816383,-87.19485703388216,-90.2145467241856,-92.57563913017198,-89.73888762211126
